seed_id,n_c_before,n_c_after,n_dropped,below_min
bbq_00dd6566,5,5,0,False
bbq_013e73bf,5,4,1,False
bbq_0594acac,5,5,0,False
bbq_074508ce,5,5,0,False
bbq_07e64293,5,5,0,False
bbq_08ae073d,5,5,0,False
bbq_0b2b4c6e,5,5,0,False
bbq_0e10545b,5,5,0,False
bbq_0e37ed71,5,5,0,False
bbq_0fb03ad6,5,5,0,False
bbq_106de616,5,4,1,False
bbq_118dc715,5,5,0,False
bbq_1276ea54,5,5,0,False
bbq_165c42db,5,5,0,False
bbq_16d28504,5,5,0,False
bbq_16d6bf66,5,4,1,False
bbq_177ecfda,5,4,1,False
bbq_18f81589,5,4,1,False
bbq_1946ba6d,5,4,1,False
bbq_1a3899fa,5,5,0,False
bbq_1bc3d48d,5,5,0,False
bbq_1e78b8b0,5,4,1,False
bbq_20e21a2d,5,5,0,False
bbq_25266114,5,4,1,False
bbq_25934b81,5,4,1,False
bbq_2672bc50,5,5,0,False
bbq_26a71438,5,5,0,False
bbq_26fdea2c,5,4,1,False
bbq_281ba38c,5,4,1,False
bbq_28230fd0,5,4,1,False
bbq_28416d64,5,5,0,False
bbq_2926d289,5,4,1,False
bbq_297a1dae,5,5,0,False
bbq_297eae36,5,5,0,False
bbq_2a505e69,5,4,1,False
bbq_2a972ee7,5,5,0,False
bbq_2b4c8a92,5,4,1,False
bbq_2b77ab73,5,5,0,False
bbq_2c5da17d,5,5,0,False
bbq_2cd0f9c5,5,4,1,False
bbq_2d729f22,5,5,0,False
bbq_2de440ae,5,5,0,False
bbq_30e0d554,5,5,0,False
bbq_3206b8de,5,5,0,False
bbq_3239072c,5,5,0,False
bbq_323c41db,5,4,1,False
bbq_3259c392,5,4,1,False
bbq_32b0f202,5,5,0,False
bbq_33ebf720,5,4,1,False
bbq_3472f7ae,5,5,0,False
bbq_347baf4c,5,4,1,False
bbq_364293a8,5,4,1,False
bbq_366c97d9,5,5,0,False
bbq_3938e3f1,5,5,0,False
bbq_3b724457,5,5,0,False
bbq_3b79c94b,5,4,1,False
bbq_3b8753db,5,5,0,False
bbq_3c495bcc,5,4,1,False
bbq_3c9b2e5f,5,5,0,False
