model_name,placebo,n_pairs,mean_absC_real,mean_absC_placebo,median_absC_real,median_absC_placebo,ratio_real_over_placebo,wilcoxon_stat,p_raw,rank_biserial,p_holm,significant_0.05
llama-3.1-8b-instruct,content,9566,0.46385897938088094,0.3173939132326546,0.26953125,0.078125,1.46146148379621,33034758.5,0.0,0.4968949907006956,0.0,True
llama-3.1-8b-instruct,function,9566,0.46385897938088094,0.23610948215287622,0.26953125,0.0703125,1.9645927607453793,35092710.5,0.0,0.5884553024010574,0.0,True
llama-3.1-8b-instruct,shuffled,9566,0.46385897938088094,0.5122822150011679,0.26953125,0.3202400207519531,0.9054754699610711,19624242.0,1.0,-0.1167984934273093,1.0,False
qwen2.5-7b-instruct,content,9566,0.9456234660179526,0.4033155383461568,0.5625,0.125,2.3446244344951195,34758923.0,0.0,0.6251362981534893,0.0,True
qwen2.5-7b-instruct,function,9566,0.9456234660179526,0.33183167665143803,0.5625,0.125,2.8497082483516256,36036231.0,0.0,0.6866792463162634,0.0,True
qwen2.5-7b-instruct,shuffled,9566,0.9456234660179526,0.9683319193883693,0.5625,0.625,0.9765488951507866,20056518.5,0.9999999982324445,-0.07072580248717127,0.9999999982324445,False
gemma-2-2b-it,content,9566,0.507896846641239,0.19180133864641838,0.203125,0.0625,2.648035984657729,30411035.0,0.0,0.6143649168664869,0.0,True
gemma-2-2b-it,function,9566,0.507896846641239,0.14509711404138845,0.203125,0.046875,3.500392478491083,31975696.5,0.0,0.6989901603115724,0.0,True
gemma-2-2b-it,shuffled,9566,0.507896846641239,0.5021523737443832,0.203125,0.25,1.0114397007705476,17556112.5,0.9999999998818505,-0.0782585551139154,0.9999999998818505,False
phi-4-mini-instruct,content,9566,0.5441864415638721,0.24609946686180223,0.375,0.125,2.211245918177715,27885076.5,0.0,0.6045754355970157,0.0,True
phi-4-mini-instruct,function,9566,0.5441864415638721,0.18870870792389713,0.375,0.125,2.883737838867154,29175789.5,0.0,0.6942549036972084,0.0,True
phi-4-mini-instruct,shuffled,9566,0.5441864415638721,0.6288613318001255,0.375,0.375,0.8653520482904073,15318315.0,1.0,-0.13522178877879348,1.0,False
