model_name,metric_a,metric_b,n_seeds,spearman,p_value
llama-3.1-8b-instruct,single,logitdiff,596,-0.0076811685210668125,0.851558463274119
llama-3.1-8b-instruct,single,kl,596,0.3342194829780962,5.0939134622817865e-17
llama-3.1-8b-instruct,logitdiff,kl,596,0.21000804553188077,2.2914219103205007e-07
qwen2.5-7b-instruct,single,logitdiff,596,0.20832178035310675,2.874273408618766e-07
qwen2.5-7b-instruct,single,kl,596,0.4637983742637723,4.02071495308259e-33
qwen2.5-7b-instruct,logitdiff,kl,596,-0.11085433572460353,0.006749215691577615
gemma-2-2b-it,single,logitdiff,596,0.2686179189280703,2.6117868547956226e-11
gemma-2-2b-it,single,kl,596,0.4897655713762691,2.7940962261240953e-37
gemma-2-2b-it,logitdiff,kl,596,-0.013047562562562565,0.750578679292295
phi-4-mini-instruct,single,logitdiff,596,0.4021070382361925,1.4387728810519591e-24
phi-4-mini-instruct,single,kl,596,0.6200082033639465,1.3831317492383247e-64
phi-4-mini-instruct,logitdiff,kl,596,0.36066234082599086,9.522977463926171e-20
