percentile,kendall_tau_b_vs_published,p_value
10,0.7071067811865477,0.17971249487899976
15,0.5477225575051662,0.2785986718379625
20,0.5477225575051662,0.2785986718379625
25,0.5477225575051662,0.2785986718379625
30,0.6666666666666669,0.3333333333333333
35,0.6666666666666669,0.3333333333333333
40,0.6666666666666669,0.3333333333333333
45,0.6666666666666669,0.3333333333333333
50,0.6666666666666669,0.3333333333333333
55,0.6666666666666669,0.3333333333333333
60,0.6666666666666669,0.3333333333333333
65,0.6666666666666669,0.3333333333333333
70,0.6666666666666669,0.3333333333333333
75,0.6666666666666669,0.3333333333333333
80,1.0,0.08333333333333333
85,1.0,0.08333333333333333
90,1.0,0.08333333333333333
