model_name,rule,behavioural,mirage_full,ci_lo,ci_hi
llama-3.1-8b-instruct,all 5,0.25,0.06879194630872483,0.04865771812080537,0.08892617449664429
llama-3.1-8b-instruct,at least 4,0.47818791946308725,0.14261744966442952,0.11577181208053691,0.17114093959731544
llama-3.1-8b-instruct,majority (3),0.6006711409395973,0.16946308724832215,0.14093959731543623,0.19966442953020133
qwen2.5-7b-instruct,all 5,0.1761744966442953,0.0016778523489932886,0.0,0.0050335570469798654
qwen2.5-7b-instruct,at least 4,0.30033557046979864,0.0016778523489932886,0.0,0.0050335570469798654
qwen2.5-7b-instruct,majority (3),0.3959731543624161,0.003355704697986577,0.0,0.008389261744966443
gemma-2-2b-it,all 5,0.10570469798657718,0.031879194630872486,0.018456375838926176,0.04697986577181208
gemma-2-2b-it,at least 4,0.24664429530201343,0.09731543624161074,0.0738255033557047,0.12248322147651007
gemma-2-2b-it,majority (3),0.37583892617449666,0.1476510067114094,0.11912751677852348,0.1761744966442953
phi-4-mini-instruct,all 5,0.0,0.0,0.0,0.0
phi-4-mini-instruct,at least 4,0.0,0.0,0.0,0.0
phi-4-mini-instruct,majority (3),0.006711409395973154,0.0,0.0,0.0
