model_name,tau,causal_pass
llama-3.1-8b-instruct,0.125,0.0
llama-3.1-8b-instruct,0.25,0.04530201342281879
llama-3.1-8b-instruct,0.375,0.15100671140939598
llama-3.1-8b-instruct,0.456,0.2214765100671141
llama-3.1-8b-instruct,0.5,0.26677852348993286
llama-3.1-8b-instruct,0.75,0.4546979865771812
llama-3.1-8b-instruct,1.0,0.5939597315436241
llama-3.1-8b-instruct,1.5,0.7651006711409396
llama-3.1-8b-instruct,2.0,0.8691275167785235
qwen2.5-7b-instruct,0.125,0.0
qwen2.5-7b-instruct,0.25,0.0016778523489932886
qwen2.5-7b-instruct,0.375,0.01174496644295302
qwen2.5-7b-instruct,0.456,0.025167785234899327
qwen2.5-7b-instruct,0.5,0.03523489932885906
qwen2.5-7b-instruct,0.75,0.13087248322147652
qwen2.5-7b-instruct,1.0,0.25671140939597314
qwen2.5-7b-instruct,1.5,0.4563758389261745
qwen2.5-7b-instruct,2.0,0.62751677852349
gemma-2-2b-it,0.125,0.018456375838926176
gemma-2-2b-it,0.25,0.13087248322147652
gemma-2-2b-it,0.375,0.28859060402684567
gemma-2-2b-it,0.456,0.37919463087248323
gemma-2-2b-it,0.5,0.43791946308724833
gemma-2-2b-it,0.75,0.6258389261744967
gemma-2-2b-it,1.0,0.7365771812080537
gemma-2-2b-it,1.5,0.8506711409395973
gemma-2-2b-it,2.0,0.8859060402684564
phi-4-mini-instruct,0.125,0.003355704697986577
phi-4-mini-instruct,0.25,0.01174496644295302
phi-4-mini-instruct,0.375,0.07214765100671142
phi-4-mini-instruct,0.456,0.0738255033557047
phi-4-mini-instruct,0.5,0.1610738255033557
phi-4-mini-instruct,0.75,0.3691275167785235
phi-4-mini-instruct,1.0,0.5654362416107382
phi-4-mini-instruct,1.5,0.8053691275167785
phi-4-mini-instruct,2.0,0.889261744966443
